item_id,timestamp,mean,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
6,2024-08-18 12:00:00,1.3928738,0.7600789,0.90784156,0.99310124,1.1310165,1.3928738,1.7744718,2.2777078,3.0158963,4.3051677
6,2024-08-18 13:00:00,1.5029111,0.8573986,0.9571078,1.0470955,1.2038984,1.5029111,1.9570422,2.5690804,3.4528265,4.9432745
6,2024-08-18 14:00:00,1.5602658,0.9247494,0.9682373,1.0505426,1.233758,1.5602658,2.0406528,2.7297623,3.742037,5.3637056
6,2024-08-18 15:00:00,1.4877576,0.8875092,0.91634953,0.999071,1.1760403,1.4877576,2.0020766,2.7612576,3.8731434,5.5732975
6,2024-08-18 16:00:00,1.3458564,0.7834265,0.7737875,0.8514581,1.0336304,1.3458564,1.8911477,2.6968763,3.8573875,5.6154547
6,2024-08-18 17:00:00,1.6538751,0.89354,0.9106128,1.0282338,1.2615652,1.6538751,2.2658036,3.1346822,4.3729773,6.1890335
6,2024-08-18 18:00:00,1.9179426,0.80775857,0.91689,1.1232964,1.4415601,1.9179426,2.6533039,3.639511,4.9853935,6.9332175
6,2024-08-18 19:00:00,2.4291406,0.90648484,1.123411,1.4015388,1.8175673,2.4291406,3.26938,4.355276,5.8015714,7.853611
6,2024-08-18 20:00:00,2.4270127,0.8876082,1.0785978,1.3426471,1.7842493,2.4270127,3.2844818,4.3839684,5.840358,7.8776207
6,2024-08-18 21:00:00,2.1154854,0.9067941,1.0039575,1.2063158,1.5508907,2.1154854,2.9058495,3.9369879,5.3113747,7.252475
6,2024-08-18 22:00:00,1.6684825,0.9003836,0.9231752,1.0233829,1.2550539,1.6684825,2.330863,3.2634377,4.5208874,6.3263025
6,2024-08-18 23:00:00,1.3144805,0.8765745,0.8774756,0.925756,1.049921,1.3144805,1.8528241,2.6714468,3.8272924,5.44417
6,2024-08-19 00:00:00,1.1688153,0.9039279,0.8943856,0.90639603,0.9765923,1.1688153,1.5783668,2.2691061,3.2684436,4.739316
6,2024-08-19 01:00:00,1.0428228,0.8777759,0.8917327,0.88115513,0.90068316,1.0428228,1.3823054,1.9770055,2.8737795,4.18023
6,2024-08-19 02:00:00,0.97086465,0.7988559,0.82388484,0.8284874,0.851109,0.97086465,1.298872,1.881254,2.7662208,4.0432415
6,2024-08-19 03:00:00,1.0696583,0.80289006,0.85152996,0.8829235,0.93774974,1.0696583,1.4035223,2.0113332,2.9314137,4.248845
6,2024-08-19 04:00:00,1.1293737,0.83563876,0.9115323,0.9506242,1.0035663,1.1293737,1.4755323,2.1136672,3.0760021,4.41162
6,2024-08-19 05:00:00,1.1453791,0.8681822,0.93553877,0.96066463,1.0074165,1.1453791,1.4943066,2.1124299,3.076767,4.4163475
6,2024-08-19 06:00:00,1.0482916,0.8051214,0.85715663,0.8664676,0.9078454,1.0482916,1.3899057,2.0010428,2.9659681,4.338755
6,2024-08-19 07:00:00,1.1572291,0.82923806,0.8962748,0.9271214,0.9962518,1.1572291,1.5124671,2.1514995,3.1677856,4.594363
6,2024-08-19 08:00:00,1.1771002,0.8067069,0.8769125,0.9212097,1.0028176,1.1771002,1.5616193,2.2560701,3.322863,4.8096786
6,2024-08-19 09:00:00,1.2109126,0.79570067,0.8685547,0.90593445,1.0015383,1.2109126,1.6467445,2.3865814,3.4886608,5.005616
6,2024-08-19 10:00:00,1.4203339,0.90010464,0.98780084,1.0429589,1.1616681,1.4203339,1.9205166,2.7038965,3.851039,5.4371395
6,2024-08-19 11:00:00,1.4794774,0.92269504,1.0307537,1.1037085,1.2280602,1.4794774,1.9991417,2.802702,3.982933,5.608873
6,2024-08-19 12:00:00,1.4580796,0.98507917,1.06657,1.1233332,1.2381941,1.4580796,1.9409316,2.746971,3.9229286,5.5259924
6,2024-08-19 13:00:00,1.3260119,0.9721199,1.0178931,1.0344579,1.1141114,1.3260119,1.7838521,2.5457118,3.6560807,5.1785755
6,2024-08-19 14:00:00,1.208985,0.94842005,0.95664835,0.9315964,0.9919487,1.208985,1.655051,2.3820612,3.467684,4.9209175
6,2024-08-19 15:00:00,1.1407497,0.86150753,0.853089,0.83700585,0.9104245,1.1407497,1.5973623,2.3463237,3.442131,4.9508023
6,2024-08-19 16:00:00,1.1776978,0.77754974,0.7721629,0.7883427,0.91239357,1.1776978,1.6806765,2.473858,3.6210122,5.1814413
6,2024-08-19 17:00:00,1.6539718,0.90600026,0.96531343,1.0707687,1.2951536,1.6539718,2.2508774,3.158472,4.3900666,6.069845
6,2024-08-19 18:00:00,2.0807743,0.86996794,1.0215054,1.2364594,1.5733463,2.0807743,2.805693,3.8193998,5.1527777,6.925663
6,2024-08-19 19:00:00,2.554128,0.95375574,1.1779747,1.4802524,1.936875,2.554128,3.3937025,4.477276,5.878267,7.7490396
6,2024-08-19 20:00:00,2.1978576,0.76398337,0.9421487,1.1984451,1.6080594,2.1978576,3.0217896,4.0926476,5.481262,7.3032975
6,2024-08-19 21:00:00,1.7335567,0.7281443,0.8111683,0.97910845,1.2665656,1.7335567,2.477773,3.484213,4.778721,6.5259857
6,2024-08-19 22:00:00,1.3620633,0.73579276,0.75434446,0.8411834,1.0303513,1.3620633,1.9772916,2.8990169,4.1274986,5.753457
6,2024-08-19 23:00:00,1.3118814,0.7898836,0.81937253,0.8794242,1.0298353,1.3118814,1.8350211,2.6449623,3.7951694,5.365152
