item_id,timestamp,mean,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
5,2024-08-19 00:00:00,584905411.3069235,299256448.17145866,397313870.56331605,468020170.98567104,528436097.6485522,584905411.3069235,641374724.9652948,701790651.628176,772496952.0505309,870554374.4423883
5,2024-08-19 01:00:00,518690455.5728906,173934130.0478019,292281896.0022204,377618961.67020935,450536337.7770864,518690455.5728906,586844573.3686948,659761949.4755719,745099015.1435608,863446781.0979793
5,2024-08-19 02:00:00,500482593.8613886,140022825.17730743,263761260.65121442,352985378.3059405,429224097.0140105,500482593.8613886,571741090.7087667,647979809.4168367,737203927.0715628,860942362.5454698
5,2024-08-19 03:00:00,478105368.3055249,112139887.69374734,237768320.9962338,328355260.05708563,405758459.4074078,478105368.3055249,550452277.203642,627855476.5539641,718442415.614816,844070848.9173024
5,2024-08-19 04:00:00,474338415.0956072,105837098.25599873,232336032.0545471,323550663.217547,401490202.32519937,474338415.0956072,547186627.8660151,625126166.9736674,716340798.1366674,842839731.9352157
5,2024-08-19 05:00:00,467353200.4787138,97327758.41614324,224349893.1012819,315941788.91356725,394203686.75371695,467353200.4787138,540502714.2037107,618764612.0438604,710356507.8561457,837378642.5412843
5,2024-08-19 06:00:00,469566221.0471193,98409594.73252136,225820041.73914206,317691938.05511886,396193086.0016318,469566221.0471193,542939356.0926069,621440504.0391197,713312400.3550966,840722847.3617172
5,2024-08-19 07:00:00,464531767.72739285,92411868.91667658,220152987.58754393,312263321.43800896,390968205.4661902,464531767.72739285,538095329.9885955,616800214.0167768,708910547.8672417,836651666.5381091
5,2024-08-19 08:00:00,454405553.5696117,81398781.99005455,209444345.86789024,301774206.13197064,380666667.386316,454405553.5696117,528144439.75290745,607036901.0072528,699366761.2713332,827412325.149169
5,2024-08-19 09:00:00,455771902.2409018,81914590.13956946,210252127.1101468,302792520.5160034,381864874.57732177,455771902.2409018,529678929.9044819,608751283.9658003,701291677.3716569,829629214.3422341
5,2024-08-19 10:00:00,484969049.5270887,110279224.35176367,238902545.96250623,331649010.2004398,410897444.18962544,484969049.5270887,559040654.864552,638289088.8537376,731035553.0916712,859658874.7024138
5,2024-08-19 11:00:00,458591810.0376047,83078945.19136077,211984799.41755792,304934989.54895437,384357499.80242276,458591810.0376047,532826120.2727866,612248630.526255,705198820.6576514,834104674.8838487
5,2024-08-19 12:00:00,453569959.2721599,77239482.69717193,206426006.23775396,299578578.69144857,379174017.17717904,453569959.2721599,527965901.3671407,607561339.8528712,700713912.3065658,829900435.8471478
5,2024-08-19 13:00:00,453523892.55621934,76379305.3898173,205845296.37624514,299199384.52046317,378967010.73355824,453523892.55621934,528080774.37888044,607848400.5919755,701202488.7361935,830668479.7226214
5,2024-08-19 14:00:00,452959750.7809159,75003630.97193533,204748204.44731966,298303170.1658823,378242438.8595954,452959750.7809159,527677062.7022364,607616331.3959496,701171297.1145122,830915870.5898964
5,2024-08-19 15:00:00,450355156.6876519,71589636.30087668,201612060.37116542,295367375.91696835,375477836.1508579,450355156.6876519,525232477.2244458,605342937.4583354,699098253.0041384,829120677.0744271
5,2024-08-19 16:00:00,453369240.5475223,73796233.22181833,204095850.9740911,298051042.66670144,378332289.69830257,453369240.5475223,528406191.39674205,608687438.4283432,702642630.1209536,832942247.8732263
5,2024-08-19 17:00:00,444220617.76703596,63841927.2397728,194418119.48803577,288572740.8507887,369024393.1822538,444220617.76703596,519416842.35181814,599868494.6832832,694023116.0460361,824599308.2942991
5,2024-08-19 18:00:00,467032669.5614228,85850041.50109923,216702208.99320927,311055827.923149,391677516.33843446,467032669.5614228,542387822.7844112,623009511.1996967,717363130.1296364,848215297.6217464
5,2024-08-19 19:00:00,465788001.4965484,83803148.29440951,214930703.20162123,309482895.8328653,390274258.15420324,465788001.4965484,541301744.8388937,622093107.1602316,716645299.7914755,847772854.6986873
5,2024-08-19 20:00:00,495590897.2803073,112805509.93937683,244207871.77508196,338958219.5359454,419918898.1092644,495590897.2803073,571262896.4513502,652223575.0246692,746973922.7855326,878376284.6212378
5,2024-08-19 21:00:00,467056713.26531833,83472467.13158697,215149060.78391516,310097148.97827715,391226789.4610324,467056713.26531833,542886637.0696043,624016277.5523596,718964365.7467215,850640959.3990498
5,2024-08-19 22:00:00,467336632.64824784,82955190.20233351,214905444.9758326,310050862.0921206,391349112.8628464,467336632.64824784,543324152.4336493,624622403.204375,719767820.3206631,851718075.0941622
5,2024-08-19 23:00:00,481538075.28630435,96361087.5314107,228584436.67058915,323926774.03821933,405393285.90297025,481538075.28630435,557682864.6696385,639149376.5343894,734491713.9020195,866715063.041198
