,predicted_mean
2024-08-18 12:00:00+00:00,1995335790.0077763
2024-08-18 13:00:00+00:00,1904221677.6697636
2024-08-18 14:00:00+00:00,1815089622.4334078
2024-08-18 15:00:00+00:00,1953880261.042037
2024-08-18 16:00:00+00:00,1730486872.370404
2024-08-18 17:00:00+00:00,1690386023.2443151
2024-08-18 18:00:00+00:00,1901974668.089474
2024-08-18 19:00:00+00:00,2341195031.396726
2024-08-18 20:00:00+00:00,2486482222.13342
2024-08-18 21:00:00+00:00,2612336098.360926
2024-08-18 22:00:00+00:00,2470187017.7227044
2024-08-18 23:00:00+00:00,2820935755.384631
2024-08-19 00:00:00+00:00,2507816464.605121
2024-08-19 01:00:00+00:00,1772161902.0238178
2024-08-19 02:00:00+00:00,1709818186.9754107
2024-08-19 03:00:00+00:00,1961878758.9866042
2024-08-19 04:00:00+00:00,1884503924.230482
2024-08-19 05:00:00+00:00,2310724151.7396393
2024-08-19 06:00:00+00:00,2605369340.631917
2024-08-19 07:00:00+00:00,3332778584.608389
2024-08-19 08:00:00+00:00,3041849645.5741587
2024-08-19 09:00:00+00:00,2915169389.3892226
2024-08-19 10:00:00+00:00,2593805581.868132
2024-08-19 11:00:00+00:00,2898337206.6052876
2024-08-19 12:00:00+00:00,2777284401.1538815
2024-08-19 13:00:00+00:00,2448873289.554641
2024-08-19 14:00:00+00:00,2334182121.811257
2024-08-19 15:00:00+00:00,2390892855.338017
2024-08-19 16:00:00+00:00,2579637239.3288784
2024-08-19 17:00:00+00:00,2483475702.9735527
2024-08-19 18:00:00+00:00,2676564838.3160963
2024-08-19 19:00:00+00:00,2974039689.344104
2024-08-19 20:00:00+00:00,2954923336.406989
2024-08-19 21:00:00+00:00,2441819366.0376525
2024-08-19 22:00:00+00:00,2238694276.678353
2024-08-19 23:00:00+00:00,2520746432.4930925
