,predicted_mean
2024-08-18 12:00:00+00:00,1694176299.5919557
2024-08-18 13:00:00+00:00,1422584657.032145
2024-08-18 14:00:00+00:00,1201276899.2583249
2024-08-18 15:00:00+00:00,1194957949.4048617
2024-08-18 16:00:00+00:00,1084022205.3463793
2024-08-18 17:00:00+00:00,1101326801.2514167
2024-08-18 18:00:00+00:00,1341457467.2271311
2024-08-18 19:00:00+00:00,1515024305.1750324
2024-08-18 20:00:00+00:00,1526391753.2506003
2024-08-18 21:00:00+00:00,1692464548.8606982
2024-08-18 22:00:00+00:00,1375306029.396068
2024-08-18 23:00:00+00:00,1487934012.9176488
2024-08-19 00:00:00+00:00,1519413759.4561179
2024-08-19 01:00:00+00:00,1414591899.2150402
2024-08-19 02:00:00+00:00,1393179390.308636
2024-08-19 03:00:00+00:00,1208628634.0848157
2024-08-19 04:00:00+00:00,945976586.4756079
2024-08-19 05:00:00+00:00,1093023117.4570923
2024-08-19 06:00:00+00:00,1210970277.9021053
2024-08-19 07:00:00+00:00,1288637229.7322721
2024-08-19 08:00:00+00:00,1190174438.7812777
2024-08-19 09:00:00+00:00,1437285115.4920616
2024-08-19 10:00:00+00:00,1240366053.4831111
2024-08-19 11:00:00+00:00,1447417784.5841951
2024-08-19 12:00:00+00:00,1278330571.1952634
2024-08-19 13:00:00+00:00,1227470840.9844253
2024-08-19 14:00:00+00:00,1176570905.6169143
2024-08-19 15:00:00+00:00,1071723456.1345038
2024-08-19 16:00:00+00:00,902663186.5915202
2024-08-19 17:00:00+00:00,900842107.4471338
2024-08-19 18:00:00+00:00,1098768994.8300319
2024-08-19 19:00:00+00:00,1456050840.2501466
2024-08-19 20:00:00+00:00,1522117112.0474308
2024-08-19 21:00:00+00:00,1720605524.5247173
2024-08-19 22:00:00+00:00,1465077161.9678016
2024-08-19 23:00:00+00:00,1579301992.679053
